Number,Name,Tags,Bold,Notes
1658,Minimum Operations to Reduce X to Zero,sliding-window,T,[Solution with Explanation](https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero/discuss/2136555/C%2B%2BPython-Simple-Solution-w-Explanation-or-Sliding-Window)
1689,Partitioning Into Minimum Number Of Deci-Binary Numbers,others,F,just return the max digit
1695,Maximum Erasure Value,sliding-window,T,hashset
1696,Jump Game VI,dp,F,dp + deque
1710,Maximum Units on a Truck,greedy,T,"give each box takes same 1 space, sort by unit to maximize unit taken"
1996,The Number of Weak Characters in the Game,sort,T,sort attack descending and defense ascending
2404,Most Frequent Even Element,hash,F,
2405,Optimal Partition of String,greedy,F,hashset
2406,Divide Intervals Into Minimum Number of Groups,pq,F,
2409,Count Days Spent Together,others,F,
2410,Maximum Matching of Players With Trainers,pointers,F,
2411,Smallest Subarrays With Maximum Bitwise OR,bit,F,"Use an array to track every bit of number, and record their last positions."
2413,Smallest Even Multiple,math,F,
2414,Length of the Longest Alphabetical Continuous Substring,sliding-window,F,
2415,Reverse Odd Levels of Binary Tree,tree,F,bfs
2416,Sum of Prefix Scores of Strings,trie,F,use tire to record each score and sum
2427,Number of Common Factors,math,T,gcd
2428,Maximum Sum of an Hourglass,math,F,brute force
2429,Minimize XOR,bit,F,
2432,The Employee That Worked on the Longest Task,others,F,
2433,Find The Original Array of Prefix Xor,bit,F,"a ^ b = c, b ^ c = a, a ^ c = b"
2434,Using a Robot to Print the Lexicographically Smallest String,string,F,stack
2460,Apply Operations to an Array,others,F,
2461,Maximum Sum of Distinct Subarrays With Length K,sliding-window,F,
2462,Total Cost to Hire K Workers,pq,F,
